,core_number,pagerank,degree_centrality,betweenness_centrality,max_clique_size,cliques_involved
2022-11-21,5.0,0.005694835469255534,0.029301608283762944,0.0155844869992956,4.0,39.0
2022-11-28,8.0,0.010386867033193397,0.05780609922621757,0.0788800467519973,6.0,249.0
2022-12-05,7.0,0.020264169038979037,0.10329562223315297,0.06937931064853518,5.0,207.0
2022-12-12,5.0,0.014081888518079932,0.06790622473726758,0.0332915491511595,4.0,41.0
2022-12-19,5.0,0.013355465217448745,0.061738424045491465,0.034344226848613164,4.0,27.0
2022-12-26,6.0,0.01737375887619088,0.07308584686774941,0.04308389428115124,4.0,76.0
2023-01-02,5.0,0.018052941018823637,0.10496453900709221,0.0393582010209347,4.0,35.0
2023-01-09,4.0,0.013839212888087293,0.06478102189781022,0.02775368477768625,4.0,9.0
2023-01-16,3.0,0.018620547067364854,0.08620689655172413,0.01446967802236383,3.0,6.0
2023-01-23,3.0,0.00951099659464859,0.04638472032742155,0.029304956053049447,3.0,4.0
2023-01-30,3.0,0.033177898226428734,0.11293634496919919,0.035640366962140485,3.0,4.0
2023-02-06,3.0,0.03330096104593207,0.08108108108108109,0.035189069564069565,3.0,7.0
2023-02-13,3.0,0.013294134650563729,0.07608695652173914,0.005786032422385299,3.0,2.0
2023-02-20,2.0,0.017049321309318032,0.07673860911270983,0.0019743820328352703,3.0,2.0
2023-02-27,3.0,0.02015804130315274,0.07254464285714285,0.02061705923640406,3.0,16.0
2023-03-01,2.0,0.017477527760246386,0.0736196319018405,0.0019653692715142983,3.0,2.0
